label@Value

# ========== CLASSES ==========

archer,"Arqueiro"
warrior,"Guerreiro"
mage,"Mago"

# ========== NAVIGATION PANEL ==========

inventory,"Inventário"
shop,"Mercado"
quests,"Missões"
dailies,"Diária"
habits,"Hábitos"

language,"Idioma"
faq,"FAQ"
contact,"Contato"
account,"Conta"
status,"Status"

# ========== TABS ==========

allLabel,"Todos"
todayLabel,"Hoje"
pendingLabel,"Pendentes"
completedLabel,"Completos"
newLabel,"Novo"

# ========== SHOP ==========

newItemAdded,"Novo item adicionado ao inventário"
notEnoughToBuy,"Você não tem o suficiente para comprar esse item"
equipped,"Equipado"

# ========== POPUPS ==========

receivingExperience,"Você recebeu {value} pontos de experiência"
receivingHealth,"Você recuperou {value} pontos de vida"
receivingCoins,"Você recebeu {value} coins"
receivingGems,"Você recebeu {value} gems"

losingExperience,"Você perdeu {value} pontos de experiência"
losingHealth,"Você perdeu {value} pontos de vida"
losingCoins,"Você perdeu {value} moedas"
losingGems,"Você perdeu {value} gemas"
spendingCoins,"Você gastou {value} moedas"
spendingGems,"Você gastou {value} gemas"

dailyAlreadyCounted,"Já contabilizado hoje"
weeklyAlreadyCounted,"Já contabilizado nesta semana"
monthlyAlreadyCounted,"Já contabilizado neste mês"
yearlyAlreadyCounted,"Já contabilizado neste ano"

confirmDeleteCharacter,"Tem certeza de que deseja excluir este personagem? Esta ação não pode ser desfeita."
confirmDeleteHabit,"Tem certeza de que deseja excluir este hábito? Seu progresso atual será perdido."
confirmDeleteDaily,"Tem certeza de que deseja excluir esta tarefa diária? Esta ação não pode ser desfeita."

confirmDeleteCharacterTitle,"Deletar personagem?"
confirmDeleteHabitTitle,"Deletar hábito?"
confirmDeleteDailyTitle,"Deletar tarefa diária?"

beginAgain,"Você sempre pode começar de novo."

somethingWrong,"Algo não saiu como esperado. Tente novamente."
invalidInput,"Algo não parece certo."

levelDown,"Um pequeno tropeço. Continue em frente."
levelUp,"Subiu de nível! Pequenos passos, progresso real."

nextYearAvailable,"Disponível em 31 de Dezembro"
nextMonthAvailable,"Disponível no último dia do mês"
nextWeekAvailable,"Disponível aos Domingos"
habitCompleted,"Hábito concluído. Sua consistência valeu a pena"

# ========== BUTTONS ==========

continueButton,"Continuar"
selectButton,"Selecionar"
createButton,"Criar"
saveButton,"Salvar"
beginAdventureButton,"Começar Aventura"
logOutButton,"Sair"
confirmButton,"Confirmar"
cancelButton,"Cancelar"

# ========== STATUS ==========

Health,"Integridade"
Critical,"Crítico"
Agility,"Agilidade"
Magic,"Mágica"
Attack,"Ataque"
Defense,"Defesa"
Experience,"Experiência"
Energy,"Energia"

# ========== CHARACTER SELECTION ==========

noCharactersYetTitle,"Sua jornada começa aqui."
noCharactersYetDescription,"Você ainda não tem um personagem.<br>Crie um para começar a jogar.<br><br>Você pode criar até 3 personagens, um para cada classe: Guerreiro, Arqueiro e Mago.<br>"

# ========== CHARACTER CUSTOMIZATION ==========

classLabel,"Classe"
bodyLabel,"Corpo"
eyesLabel,"Olhos"
hairLabel,"Cabelo"
eyebrowsLabel,"Sobrancelha"
earsLabel,"Orelha"
mouthLabel,"Boca"
beardLabel,"Barba"
makeupLabel,"Maquiagem"
accessoryLabel,"Acessório"

backToCharacterSelectionLabel,"Seleção de Personagens"

# ========== NEW HABIT PANEL ==========

dailyFlavor,"<b>Faça um check-in todos os dias para acompanhar este hábito.</b><br>Bom para hábitos que exigem atenção diária, consistência ou evitação.<br><b>Exemplo</b>: Evite comer doces.<br>Concluído após <b>90 dias consecutivos</b> de check-ins positivos."
weeklyFlavor, "<b>Revise seu progresso uma vez por semana.</b><br>Bom para hábitos que exigem esforço regular e flexibilidade, sem a pressão do acompanhamento diário.<br><b>Exemplo:</b> Ir à academia 3 vezes por semana.<br>Concluído após <b>12 semanas consecutivas</b> de verificações positivas."
monthlyFlavor, "<b>Revise seu progresso uma vez por mês.</b><br>Bom para hábitos que precisam de reflexão, planejamento ou progresso constante, sem verificações frequentes.<br><b>Exemplo:</b> Ler um livro por mês.<br>Concluído após <b>6 meses consecutivos</b> de verificações positivas."
yearlyFlavor, "<b>Revise seu progresso uma vez por ano.</b><br>Bom para hábitos focados em crescimento a longo prazo, direção de vida ou identidade.<br><b>Exemplo:</b> Construa estabilidade financeira.<br>Concluído após <b>3 anos consecutivos</b> de verificações positivas."

habitTrivialDifficultyFlavor,"<b>Em marcas positivas:</b><br>+2 experiência e +2 moedas<br><b>Ao completar:</b><br>+100 experiência e +100 moedas"
habitEasyDifficultyFlavor,"<b>Em marcas positivas:</b><br>+4 experiência e +4 moedas<br><b>Ao completar:</b><br>+200 experiência, +200 moedas e 1 cristal"
